CustomerName,CustomerAdress,CustomerPESEL,Telephonenumber,ContractValue,ContractItem,ConStartDate,ConEndDate,ConTypeName
Mirosław Fibiana,Kwiatowa 40 warszawa,10591101550,177043322,7000,Nokia 3310,2016-09-23,2018-12-31,telefon
Barbara Fornal,Kwiatowa 40 warszawa,51042382667,171405426,3210,ZTE 123,2016-02-23,2018-02-28,internet
Barbara Griczan,Kwiatowa 43 warszawa,56759663053,879725383,1230,ZTE 123,2017-02-01,2018-06-30,internet+telefon
Barbara Gruda,Kwiatowa 36 warszawa,14693572315,695528205,4321,Nokia 3310,2017-03-23,2018-07-31,telefon
Barbara Jagiel,Kwiatowa 27 warszawa,26417217529,944738466,1518,Nokia 3311,2016-12-30,2018-03-30,internet
Barbara Jelikowska,Kwiatowa 31 warszawa,37559676122,879739837,2312,ZTE 124,2017-07-29,2018-04-29,internet+telefon
Barbara Kiszewska,Kwiatowa 42 warszawa,13296026585,834045096,1719,ZTE 124,2015-12-30,2019-01-01,telefon
Jadwiga Bilecka,Kwiatowa 29 Radom,67123864284,57621322,2727,Nokia 3311,2016-09-24,2018-03-01,internet
Ewa Masztaler,Kwiatowa 45 kraków,25272740520,96749426,6933,Nokia 3312,2016-02-24,2018-07-01,internet+telefon
Barbara Mączyńska,Kwiatowa 40 kraków,28390981219,715560466,5963,ZTE 125,2017-02-02,2018-08-01,telefon
Ewa Niemota,Kwiatowa 38 kraków,5047963432,48010263,6422,ZTE 125,2017-03-24,2018-03-31,internet
Elwira Policzawska,Kwiatowa 33 kraków,12943824897,22842901,8135,Nokia 3312,2016-12-31,2018-04-30,internet+telefon
Barbara Sadurski,Kwiatowa 44 kraków,69867267372,844004836,8762,Nokia 3313,2017-07-30,2019-01-02,telefon
Edward Żeligowski,Kwiatowa 53 zakopane,74719036491,258996711,2150,ZTE 126,2015-12-31,2018-03-02,internet
Jadwiga Chrilecka,Kwiatowa 54 warszawa,64136184481,475268514,8263,ZTE 126,2016-09-25,2018-07-02,internet+telefon
Jadwiga Derilecka,Kwiatowa 30 warszawa,30784869845,77775872,1186,Nokia 3313,2016-02-25,2018-08-02,telefon
Jadwiga Filbrecka,Kwiatowa 32 warszawa,84617538854,949456236,8887,Nokia 3314,2017-02-03,2018-04-01,internet
Kalina Filecka,Kwiatowa 29 warszawa,38099613006,184984874,7407,ZTE 127,2017-03-25,2018-05-01,internet+telefon
Jadwiga Filoecka,Kwiatowa 55 warszawa,78395873451,551434298,8329,ZTE 127,2017-01-01,2019-01-03,telefon
Jadwiga Firlecka,Kwiatowa 34 warszawa,42847379896,272526622,4853,Nokia 3314,2017-07-31,2018-03-03,internet
Jadwiga Fulecka,Kwiatowa 32 warszawa,85053660459,875486625,5016,Nokia 3315,2016-01-01,2018-07-03,internet+telefon
Bolesław Bryński,Kwiatowa 34 warszawa,25962480711,704608417,1464,ZTE 128,2016-09-26,2018-08-03,telefon
Katarzyna Dawro,Kwiatowa 33 warszawa,37638513403,598927386,7390,ZTE 128,2016-02-26,2018-04-02,internet
Jolanta Filecka,Kwiatowa 30 warszawa,17616852051,728396328,5038,Nokia 3315,2017-02-04,2018-05-02,internet+telefon
Jadwiga Gilecka,Kwiatowa 29 warszawa,35865242375,711350154,3475,Nokia 3316,2017-03-26,2019-01-04,telefon
Jadwiga Jolecka,Kwiatowa 29 warszawa,76380174107,147251269,5827,ZTE 129,2017-01-02,2018-03-04,internet
Janusz Kurant,Kwiatowa 37 warszawa,34964327566,143723549,717,ZTE 129,2017-08-01,2018-07-04,internet+telefon
Jadwiga Milecka,Kwiatowa 29 kraków,4400745952,477816743,4589,Nokia 3316,2016-01-02,2018-08-04,telefon
Krystyna Pilecki,Kwiatowa 34 kraków,72900998438,805517849,904,Nokia 3317,2016-09-27,2018-04-03,internet
